iter	Passed	Remaining
658	47706	38729
659	47770	38651
660	47849	38583
661	47935	38521
662	48003	38446
663	48077	38374
664	48158	38309
665	48241	38245
666	48313	38172
667	48384	38099
668	48487	38050
669	48544	37966
670	48611	37889
671	48679	37813
672	48747	37738
673	48813	37660
674	48892	37592
675	48969	37524
676	49037	37448
677	49106	37373
678	49193	37311
679	49269	37242
680	49347	37173
681	49446	37120
682	49551	37072
683	49629	37004
684	49715	36942
685	49795	36874
686	49873	36806
687	49961	36744
688	50039	36676
689	50121	36610
690	50206	36546
691	50283	36477
692	50367	36413
693	50442	36341
694	50539	36286
695	50606	36209
696	50678	36136
697	50752	36064
698	50824	35991
699	50902	35922
700	50990	35860
701	51065	35789
702	51138	35716
703	51209	35643
704	51284	35572
705	51347	35492
706	51417	35417
707	51492	35346
708	51584	35287
709	51669	35222
710	51731	35142
711	51798	35065
712	51869	34991
713	51935	34914
714	52003	34838
715	52087	34773
716	52167	34705
717	52240	34632
718	52308	34557
719	52381	34484
720	52463	34418
721	52533	34342
722	52637	34291
723	52738	34236
724	52811	34163
725	52888	34093
726	52971	34027
727	53043	33953
728	53120	33883
729	53187	33807
730	53257	33732
731	53327	33657
732	53399	33584
733	53471	33510
734	53545	33438
735	53623	33368
736	53712	33306
737	53784	33232
738	53856	33159
739	53927	33084
740	54010	33018
741	54081	32944
742	54141	32863
743	54192	32777
744	54275	32711
745	54345	32636
746	54415	32561
747	54482	32485
748	54551	32410
749	54621	32335
750	54691	32261
751	54807	32214
752	54880	32140
753	54950	32066
754	55022	31993
755	55077	31910
756	55149	31836
757	55226	31766
758	55288	31687
759	55348	31606
760	55429	31538
761	55500	31465
762	55551	31379
763	55622	31305
764	55684	31227
765	55764	31158
766	55867	31101
767	55940	31029
768	56009	30954
769	56081	30881
770	56160	30811
771	56218	30730
772	56295	30660
773	56391	30599
774	56464	30527
775	56523	30447
776	56597	30374
777	56667	30300
778	56726	30220
779	56802	30149
780	56907	30093
781	56975	30017
782	57047	29944
783	57111	29866
784	57182	29793
785	57276	29731
786	57357	29662
787	57446	29597
788	57525	29528
789	57596	29454
790	57670	29382
791	57741	29308
792	57816	29236
793	57890	29164
794	57999	29109
795	58067	29033
796	58140	28960
797	58215	28888
798	58282	28813
799	58348	28736
800	58428	28667
801	58512	28599
802	58582	28525
803	58657	28453
804	58727	28378
805	58803	28307
806	58874	28233
807	58956	28165
808	59066	28109
809	59148	28040
810	59221	27967
811	59284	27890
812	59335	27806
813	59404	27731
814	59478	27659
815	59546	27583
816	59619	27510
817	59688	27436
818	59756	27360
819	59828	27287
820	59895	27212
821	59965	27137
822	60072	27080
823	60150	27009
824	60211	26931
825	60280	26856
826	60348	26781
827	60410	26703
828	60475	26626
829	60538	26549
830	60609	26475
831	60680	26401
832	60760	26332
833	60817	26252
834	60885	26177
835	60950	26100
836	61019	26026
837	61123	25966
838	61213	25900
839	61275	25823
840	61352	25752
841	61428	25680
842	61508	25610
843	61580	25537
844	61659	25466
845	61713	25385
846	61774	25308
847	61843	25233
848	61928	25165
849	61998	25090
850	62060	25014
851	62126	24938
852	62288	24900
853	62358	24826
854	62437	24756
855	62512	24683
856	62584	24610
857	62644	24532
858	62734	24465
859	62810	24393
860	62864	24313
861	62939	24241
862	63021	24171
863	63099	24100
864	63165	24024
865	63239	23952
866	63343	23890
867	63405	23813
868	63479	23740
869	63541	23663
870	63608	23588
871	63674	23512
872	63734	23434
873	63810	23363
874	63882	23289
875	63962	23219
876	64033	23145
877	64115	23075
878	64182	23000
879	64251	22926
880	64341	22859
881	64451	22799
882	64536	22730
883	64606	22656
884	64673	22581
885	64751	22509
886	64838	22441
887	64896	22362
888	64968	22289
889	65046	22218
890	65112	22142
891	65175	22066
892	65247	21992
893	65317	21918
894	65410	21852
895	65496	21783
896	65587	21716
897	65664	21644
898	65741	21572
899	65820	21501
900	65906	21432
901	65961	21353
902	66044	21283
903	66132	21215
904	66205	21141
905	66286	21071
906	66376	21003
907	66454	20931
908	66568	20871
909	66636	20796
910	66703	20721
911	66771	20646
912	66839	20571
913	66908	20497
914	66987	20425
915	67085	20359
916	67155	20285
917	67223	20211
918	67296	20137
919	67368	20064
920	67438	19990
921	67509	19916
922	67623	19854
923	67697	19781
924	67766	19707
925	67835	19632
926	67920	19562
927	67979	19485
928	68055	19413
929	68132	19340
930	68216	19270
931	68286	19196
932	68354	19121
933	68406	19042
934	68472	18967
935	68543	18893
936	68629	18823
937	68724	18756
938	68792	18681
939	68875	18611
940	68929	18532
941	69002	18459
942	69075	18386
943	69138	18309
944	69213	18237
945	69284	18163
946	69366	18092
947	69437	18018
948	69507	17944
949	69593	17874
950	69665	17800
951	69777	17737
952	69845	17662
953	69918	17589
954	69991	17516
955	70077	17446
956	70146	17371
957	70210	17296
958	70283	17222
959	70353	17148
960	70420	17073
961	70487	16999
962	70556	16924
963	70623	16850
964	70691	16775
965	70778	16705
966	70883	16639
967	70967	16568
968	71050	16497
969	71121	16423
970	71205	16353
971	71284	16281
972	71368	16210
973	71440	16136
974	71523	16065
975	71595	15991
976	71668	15918
977	71727	15841
978	71797	15767
979	71909	15702
980	71971	15626
981	72018	15547
982	72084	15472
983	72155	15399
984	72224	15324
985	72302	15252
986	72378	15179
987	72452	15106
988	72520	15031
989	72585	14957
990	72661	14884
991	72733	14810
992	72799	14735
993	72876	14663
994	72990	14598
995	73069	14525
996	73133	14450
997	73209	14377
998	73281	14304
999	73351	14230
1000	73420	14156
1001	73499	14083
1002	73568	14009
1003	73638	13935
1004	73705	13861
1005	73772	13786
1006	73840	13712
1007	73907	13637
1008	74002	13568
1009	74113	13501
1010	74186	13428
1011	74269	13356
1012	74351	13285
1013	74427	13211
1014	74500	13138
1015	74571	13064
1016	74643	12990
1017	74707	12915
1018	74782	12842
1019	74852	12768
1020	74924	12695
1021	75000	12622
1022	75175	12565
1023	75261	12494
1024	75349	12423
1025	75424	12350
1026	75499	12276
1027	75562	12201
1028	75638	12128
1029	75716	12055
1030	75791	11982
1031	75858	11908
1032	75925	11833
1033	75998	11759
1034	76072	11686
1035	76148	11613
1036	76254	11544
1037	76336	11472
1038	76404	11398
1039	76473	11323
1040	76547	11250
1041	76621	11177
1042	76692	11103
1043	76771	11030
1044	76848	10957
1045	76927	10884
1046	77001	10811
1047	77075	10737
1048	77144	10663
1049	77224	10590
1050	77329	10521
1051	77395	10446
1052	77468	10373
1053	77542	10299
1054	77617	10226
1055	77685	10152
1056	77751	10077
1057	77845	10006
1058	77915	9932
1059	77984	9858
1060	78047	9783
1061	78093	9706
1062	78174	9633
1063	78242	9559
1064	78322	9486
1065	78430	9417
1066	78503	9343
1067	78575	9270
1068	78646	9196
1069	78709	9121
1070	78780	9047
1071	78856	8974
1072	78933	8901
1073	79006	8827
1074	79060	8751
1075	79123	8677
1076	79185	8602
1077	79247	8527
1078	79329	8455
1079	79414	8382
1080	79535	8314
1081	79605	8240
1082	79688	8167
1083	79763	8094
1084	79829	8019
1085	79908	7946
1086	79991	7874
1087	80056	7799
1088	80130	7726
1089	80190	7651
1090	80252	7576
1091	80322	7502
1092	80393	7428
1093	80463	7355
1094	80578	7285
1095	80665	7212
1096	80727	7138
1097	80786	7063
1098	80852	6989
1099	80922	6915
1100	80993	6841
1101	81067	6767
1102	81141	6694
1103	81213	6620
1104	81291	6547
1105	81358	6473
1106	81430	6399
1107	81500	6325
1108	81593	6253
1109	81694	6182
1110	81773	6109
1111	81851	6035
1112	81929	5962
1113	82008	5889
1114	82096	5816
1115	82178	5743
1116	82266	5670
1117	82338	5597
1118	82412	5523
1119	82483	5449
1120	82543	5375
1121	82615	5301
1122	82732	5230
1123	82804	5156
1124	82874	5082
1125	82948	5009
1126	83008	4934
1127	83079	4861
1128	83152	4787
1129	83215	4713
1130	83283	4639
1131	83362	4565
1132	83444	4492
1133	83520	4419
1134	83587	4345
1135	83661	4271
1136	83765	4199
1137	83864	4126
1138	83945	4053
1139	84011	3979
1140	84082	3905
1141	84162	3832
1142	84235	3758
1143	84310	3684
1144	84380	3611
1145	84455	3537
1146	84530	3463
1147	84597	3389
1148	84658	3315
1149	84730	3241
1150	84804	3168
1151	84990	3098
1152	85072	3025
1153	85140	2951
1154	85218	2877
1155	85283	2803
1156	85357	2729
1157	85436	2656
1158	85500	2581
1159	85570	2508
1160	85651	2434
1161	85724	2360
1162	85793	2286
1163	85869	2213
1164	85948	2139
1165	86063	2066
1166	86141	1992
1167	86218	1919
1168	86293	1845
1169	86363	1771
1170	86420	1697
1171	86487	1623
1172	86576	1549
1173	86620	1475
1174	86686	1401
1175	86751	1327
1176	86821	1254
1177	86889	1180
1178	86968	1106
1179	87051	1032
1180	87164	959
1181	87258	885
1182	87332	812
1183	87402	738
1184	87470	664
1185	87560	590
1186	87633	516
1187	87706	442
1188	87773	369
1189	87846	295
1190	87918	221
1191	87992	147
1192	88074	73
1193	88185	0
