iter	Accuracy	Logloss
88	0.8208508268	0.4129818835
89	0.8208209802	0.4128907521
90	0.8208707245	0.4127559222
91	0.8208707245	0.4126928897
92	0.8208607756	0.4125620817
93	0.8208607756	0.4124548195
94	0.8209105199	0.4123806177
95	0.8209403665	0.4123324635
96	0.8210000597	0.412186146
97	0.8210000597	0.4121345346
98	0.8210299063	0.4120112935
99	0.8210398551	0.4119625473
100	0.8210299063	0.4118880243
101	0.8210995483	0.4116324126
102	0.8211293949	0.4115803276
103	0.8210995483	0.4115344888
104	0.8211492926	0.4114125299
105	0.8211691904	0.4113559532
106	0.8211393438	0.4112872731
107	0.8211293949	0.4112300276
108	0.8211592415	0.4111623298
109	0.8211791392	0.4110758887
110	0.821199037	0.4110146493
111	0.8212786279	0.4108834621
112	0.8212388324	0.4108017019
113	0.8212587301	0.4106916818
114	0.821268679	0.4105965303
115	0.8212885767	0.4105397477
116	0.8212985256	0.4104998039
117	0.8213283722	0.4104030905
118	0.8213084744	0.4103035466
119	0.8213781165	0.4102112961
120	0.8213681676	0.4101406241
121	0.8213482699	0.4100673416
122	0.8214278608	0.4099591231
123	0.8214577074	0.409934054
124	0.8214975028	0.409845911
125	0.8215372983	0.4097528765
126	0.8215372983	0.4096975046
127	0.8215174006	0.4096122743
128	0.8215472471	0.4095122553
129	0.8215174006	0.4094014625
130	0.8215870426	0.4093102238
131	0.8216168892	0.4091991329
132	0.8216467358	0.4091129198
133	0.821706429	0.4090106854
134	0.821706429	0.4089920471
135	0.8217263267	0.4088998565
136	0.8217263267	0.4088308556
137	0.8217362755	0.4087429157
138	0.8217561733	0.4086484054
139	0.8218258153	0.4085014316
140	0.8218357642	0.4084235531
141	0.8218954573	0.4083308685
142	0.8219452017	0.4082392669
143	0.8218656108	0.4081183191
144	0.8218954573	0.4080263232
145	0.8219054062	0.4079167687
146	0.8218954573	0.4078213047
147	0.8219253039	0.4077640171
148	0.8219452017	0.4076758476
149	0.8219551505	0.4076266035
150	0.8219054062	0.4075126118
151	0.821994946	0.4074081579
152	0.8220446903	0.4073373559
153	0.8221043835	0.4072336683
154	0.8220745369	0.4071338963
155	0.8221541278	0.4070452356
156	0.8221839744	0.4070252233
157	0.8222237698	0.4069290953
158	0.822213821	0.4069060618
159	0.8222237698	0.4068229564
160	0.8221939232	0.4067154492
161	0.8221839744	0.4066330805
162	0.8222536164	0.4065894422
163	0.8222237698	0.4064851609
164	0.822213821	0.4064316462
165	0.8222237698	0.4063228676
166	0.8222038721	0.4062205849
167	0.8223133096	0.4061502537
168	0.8223332073	0.4060586839
169	0.8223630539	0.4059696428
170	0.822353105	0.4058583856
171	0.8224824403	0.4057667259
172	0.8225222357	0.405727605
173	0.8225819289	0.4056489109
174	0.8225918777	0.4055658419
175	0.8225918777	0.4055084456
176	0.8226615198	0.4054094445
177	0.8226416221	0.4053737396
178	0.8226515709	0.4053191385
179	0.8226714687	0.4052426212
180	0.8226416221	0.4052021078
181	0.8226615198	0.40511903
182	0.8226814175	0.4050314588
183	0.8226515709	0.4048363701
184	0.8227112641	0.4047613696
185	0.8227311618	0.4047004287
186	0.8227510596	0.4045883088
187	0.8227112641	0.4045068467
188	0.8227709573	0.4044286866
189	0.8228803948	0.4043400669
190	0.8228803948	0.4042479414
191	0.8228803948	0.4042010875
192	0.8229898323	0.4041666301
193	0.8229699345	0.4041307178
194	0.8229500368	0.4040221852
195	0.8229599857	0.4039588708
196	0.8230196789	0.4038944938
197	0.8230196789	0.4038353677
198	0.8230495254	0.4037014276
199	0.8230694232	0.4036192776
200	0.8230893209	0.4035345536
201	0.8230893209	0.4034234596
202	0.8231390652	0.4033239373
203	0.8232186561	0.4032997268
204	0.8232485027	0.4032150054
205	0.8232186561	0.4031410115
206	0.8232385538	0.4031046045
207	0.823298247	0.4030500137
208	0.8233280936	0.4029578311
209	0.8233081959	0.4029098134
210	0.8233977356	0.4028587492
211	0.8234076845	0.4027697114
212	0.8234375311	0.402675436
213	0.8234773265	0.4026188689
214	0.8235270709	0.4025556362
215	0.8235768152	0.402499878
216	0.8236066618	0.4024221226
217	0.8236066618	0.4023931902
218	0.8236365083	0.4023827347
219	0.8236564061	0.4023074587
220	0.8236265595	0.4022307534
221	0.8237658436	0.4021219797
222	0.8237658436	0.4020974418
223	0.8236862527	0.4020510347
224	0.8236962015	0.4019718084
225	0.8236763038	0.4018602837
226	0.8236763038	0.4018527334
227	0.8237160992	0.4017785257
228	0.8237658436	0.4017003833
229	0.8237558947	0.401666659
230	0.8237558947	0.4016400924
231	0.8238155879	0.4015683605
232	0.8238454345	0.4015049298
233	0.8238553833	0.4014626119
234	0.8238354856	0.4013252413
235	0.8238852299	0.4012444662
236	0.8239150765	0.4012140206
237	0.8239449231	0.401140552
238	0.823954872	0.4010512567
239	0.8239946674	0.4010207714
240	0.8239449231	0.4009410953
241	0.8239648208	0.400906845
242	0.8240444117	0.4008270936
243	0.8240046163	0.4007659768
244	0.8240444117	0.4006630251
245	0.8240742583	0.4005747763
246	0.8240842072	0.4005134544
247	0.8240842072	0.400478212
248	0.8241140538	0.400453328
249	0.8241637981	0.4003952642
250	0.8241836958	0.4003259364
251	0.8242035935	0.4002433273
252	0.8242234913	0.4001972083
253	0.8242234913	0.400126144
254	0.8241836958	0.4000631382
255	0.8242234913	0.4000044965
256	0.824243389	0.3999401611
257	0.8242234913	0.3998559633
258	0.8242334401	0.3998218995
259	0.8242035935	0.3997601497
260	0.8242035935	0.3996831312
261	0.824313031	0.3996503739
262	0.8242732356	0.3995913943
263	0.8243229799	0.3995172681
264	0.8243528265	0.3994524059
265	0.8243926219	0.3993578034
266	0.8243329287	0.3992735784
267	0.8243428776	0.3992669419
268	0.8244125196	0.399178792
269	0.8244423662	0.3990828871
270	0.824462264	0.3990181932
271	0.8244523151	0.3989586281
272	0.8244125196	0.3989407903
273	0.8244523151	0.3988791319
274	0.824462264	0.3988384105
275	0.8245120083	0.3987869686
276	0.8245120083	0.3987339945
277	0.8245418549	0.3986850287
278	0.8245816503	0.398617485
279	0.8245915992	0.3985380462
280	0.8245816503	0.3985029209
281	0.8246214458	0.398463577
282	0.8246711901	0.398388971
283	0.8247209344	0.3983072849
284	0.8247010367	0.3982303806
285	0.8247408321	0.3981507815
286	0.8247408321	0.3980518006
287	0.8248303719	0.3980089728
288	0.8248602185	0.3979551585
289	0.8248502696	0.3978907082
290	0.8248403208	0.397821435
291	0.8248602185	0.3977426325
292	0.8248502696	0.3977012706
293	0.8248502696	0.3976667563
294	0.8248701673	0.3976227733
295	0.8249099628	0.3975381003
296	0.8249099628	0.3974569812
297	0.8249000139	0.3974333589
298	0.8249597071	0.3973696706
299	0.8249497582	0.3973266921
300	0.8249995026	0.3972156802
301	0.8250194003	0.3971579065
302	0.8251188889	0.3970786015
303	0.8251984798	0.3970346105
304	0.8252482241	0.3969499267
305	0.8252681219	0.3968930777
306	0.8253079173	0.3968257981
307	0.8253178662	0.3967890546
308	0.8253079173	0.396747498
309	0.8253775593	0.3967028142
310	0.8253576616	0.39665735
311	0.8253775593	0.3964925437
312	0.8253775593	0.3964224336
313	0.8254173548	0.3963239495
314	0.8254372525	0.3962402687
315	0.8254571502	0.3961376245
316	0.8255267923	0.3960610465
317	0.825477048	0.3960202034
318	0.82554669	0.395946401
319	0.8255665877	0.3958810602
320	0.8256262809	0.3958137374
321	0.8256362298	0.3957815686
322	0.8256362298	0.3957457267
323	0.8256262809	0.3956817844
324	0.8256461786	0.3956333374
325	0.8256561275	0.3956082579
326	0.8256859741	0.3955760238
327	0.8256859741	0.3955174235
328	0.825695923	0.3954867571
329	0.8256760252	0.3954244374
330	0.8256859741	0.3953832209
331	0.825695923	0.3953639932
332	0.825695923	0.3952877568
333	0.825695923	0.3952366439
334	0.8256561275	0.3951638916
335	0.8257058718	0.3951028037
336	0.8257058718	0.3950986918
337	0.8257257695	0.395014737
338	0.8256760252	0.3949515905
339	0.8257954116	0.3948888152
340	0.8258153093	0.3948138567
341	0.8258849514	0.3947529055
342	0.8258849514	0.3947092127
343	0.8258949002	0.3946489245
344	0.8258551048	0.3945594614
345	0.8258849514	0.3945194214
346	0.8258849514	0.394513613
347	0.8258949002	0.394462989
348	0.8259147979	0.3944438527
349	0.8259645423	0.3943535799
350	0.8260043377	0.3942926354
351	0.8260441332	0.3942110079
352	0.8260839286	0.3941385387
353	0.8261038263	0.3940673568
354	0.8260839286	0.3939966121
355	0.8260938775	0.3939943941
356	0.8260839286	0.393929047
357	0.8261038263	0.393902703
358	0.8261436218	0.3938367178
359	0.8261336729	0.3938086213
360	0.8261834172	0.3937488375
361	0.8261734684	0.393653693
362	0.8262232127	0.3936095703
363	0.826272957	0.3935141062
364	0.8262928547	0.393445262
365	0.8262928547	0.3933729931
366	0.8262928547	0.3933231406
367	0.8263028036	0.3932869893
368	0.8263326502	0.3932367534
369	0.8263525479	0.393178712
370	0.8264122411	0.3930880339
371	0.8263724456	0.3930527929
372	0.8264321388	0.3930020877
373	0.8264719343	0.3929498703
374	0.8264719343	0.3928838865
375	0.826491832	0.3928269004
376	0.8265117297	0.3927758741
377	0.8265117297	0.3927515897
378	0.8265415763	0.3927113123
379	0.8265415763	0.3927092944
380	0.8265316274	0.3926733976
381	0.8265216786	0.39263352
382	0.8265216786	0.3925737203
383	0.8266012695	0.3924891377
384	0.8265714229	0.3924422048
385	0.8266410649	0.3923990479
386	0.8266510138	0.3923707684
387	0.8266709115	0.3923236239
388	0.8266908092	0.3923076847
389	0.8267206558	0.3922686488
390	0.8267604513	0.3922178036
391	0.826710707	0.3921146133
392	0.8267604513	0.3920597042
393	0.8268002467	0.3919963283
394	0.8268101956	0.3919752895
395	0.8268599399	0.3919563942
396	0.8268997354	0.3919024329
397	0.826849991	0.3918639446
398	0.8268201445	0.3918332923
399	0.8267902979	0.3917707891
400	0.8267902979	0.3917217045
401	0.8268002467	0.3916996904
402	0.826780349	0.3916579735
403	0.826780349	0.391626367
404	0.8268101956	0.3915980734
405	0.8268897865	0.3915301082
406	0.8269096842	0.3914593331
407	0.8269494797	0.3913970939
408	0.8269096842	0.3913387577
409	0.8269793263	0.3912495482
410	0.8270489683	0.3912118859
411	0.8271086615	0.3911361555
412	0.8271484569	0.3910897357
413	0.8271385081	0.3910379122
414	0.8272280478	0.3909711597
415	0.8272678433	0.3909314602
416	0.8271882524	0.3908674269
417	0.8272777921	0.3908235671
418	0.8272678433	0.3907924551
419	0.8272777921	0.3907592574
420	0.8273275365	0.3907332851
421	0.8273474342	0.3906714128
422	0.8273474342	0.3906134812
423	0.8273872296	0.3905302079
424	0.8273772808	0.3904670517
425	0.8273772808	0.3904243012
426	0.8275165649	0.3903339744
427	0.8275862069	0.3902769401
428	0.8275464114	0.3902263751
429	0.8275663092	0.3901527791
430	0.8276558489	0.3900974018
431	0.8276160535	0.3900513858
432	0.8276260023	0.3900391766
433	0.8276160535	0.3900361895
434	0.8276160535	0.3900115212
435	0.8276260023	0.3899788477
436	0.8276061046	0.3899124161
437	0.8276160535	0.3898398891
438	0.8276260023	0.3898309147
439	0.8276459001	0.3897506659
440	0.8276459001	0.3897274061
441	0.8276359512	0.3897162587
442	0.8277553376	0.3896617339
443	0.8277453887	0.3896595619
444	0.8277752353	0.3896136624
445	0.8277752353	0.389547327
446	0.827795133	0.3895047612
447	0.8278249796	0.3894590227
448	0.827795133	0.389398075
449	0.8277752353	0.3893655999
450	0.8277752353	0.3893590576
451	0.8278249796	0.389292859
452	0.8278349285	0.3892513218
453	0.8279244682	0.3892145451
454	0.8279145194	0.3891579094
455	0.8279344171	0.3890894032
456	0.8279145194	0.389038675
457	0.8279941103	0.3889704055
458	0.8280040591	0.3889093844
459	0.8279742125	0.3889028467
460	0.8279742125	0.3888656685
461	0.8279742125	0.3888557833
462	0.828014008	0.3888122208
463	0.8280239569	0.3887899056
464	0.8280637523	0.3887204687
465	0.82808365	0.3886443106
466	0.8281035478	0.3885874013
467	0.8281234455	0.388548047
468	0.8281532921	0.3885035162
469	0.8282129853	0.3884523057
470	0.8281930875	0.3884000691
471	0.8282129853	0.3883964074
472	0.8282030364	0.3883590129
473	0.8282527807	0.3883121126
474	0.8282925762	0.3882394949
475	0.8282925762	0.3882379957
476	0.8282826273	0.3882271625
477	0.8282925762	0.3881562327
478	0.8282925762	0.3881545373
479	0.8282826273	0.3880606618
480	0.828302525	0.3880165197
481	0.8283224227	0.3879466221
482	0.8283323716	0.3878964161
483	0.8283423205	0.387843014
484	0.8283522693	0.3877686564
485	0.8284020136	0.3877328996
486	0.8284318602	0.3876682433
487	0.8284119625	0.3876101711
488	0.8284219114	0.38760744
489	0.8284716557	0.3875605546
490	0.8284915534	0.3875020931
491	0.8284716557	0.3874724873
492	0.8284816046	0.3874449205
493	0.8285015023	0.3873762289
494	0.8285214	0.3873329037
495	0.8285512466	0.3872776801
496	0.8285512466	0.3872527135
497	0.8285412977	0.3871906251
498	0.8285214	0.3871321332
499	0.8285711443	0.3870798934
500	0.828591042	0.3870608941
501	0.8285810932	0.3870145276
502	0.8285512466	0.3869551353
503	0.8285611955	0.386921247
504	0.828591042	0.3869046448
505	0.8285810932	0.3868542636
506	0.8286109398	0.3868158045
507	0.8286308375	0.3867495804
508	0.8286805818	0.3866769345
509	0.8287004795	0.3866695806
510	0.8287203773	0.3866515647
511	0.8287203773	0.3866509218
512	0.8287203773	0.3866336699
513	0.8287701216	0.3865458083
514	0.8288397636	0.386510444
515	0.8288397636	0.3864601387
516	0.8288497125	0.3863885269
517	0.8288895079	0.3863348534
518	0.8289492011	0.3862753131
519	0.8289790477	0.3862222382
520	0.8289293034	0.38618153
521	0.8289293034	0.3861393071
522	0.8289392522	0.3861181801
523	0.8289293034	0.3860555583
524	0.8290188431	0.3860031831
525	0.8290188431	0.3859355265
526	0.8289989454	0.3859147828
527	0.8290486897	0.3858690751
528	0.8291382295	0.3858051938
529	0.8291282806	0.3857719028
530	0.8291481784	0.3857656911
531	0.8291282806	0.3857181552
532	0.8291282806	0.3856763137
533	0.8291680761	0.385605205
534	0.8292377181	0.3855526563
535	0.8292277693	0.38548974
536	0.829247667	0.3854592111
537	0.8292377181	0.3854211726
538	0.8292277693	0.3854073917
539	0.8292775136	0.3853995779
540	0.8293372068	0.3853479932
541	0.8293272579	0.3853116078
542	0.829317309	0.3852514263
543	0.8293571045	0.3851934718
544	0.8294167977	0.3851186898
545	0.829466542	0.3850922858
546	0.8295162863	0.385023398
547	0.8295560817	0.384970928
548	0.829536184	0.3848873331
549	0.8295560817	0.3848611842
550	0.829685417	0.3847672085
551	0.8296754681	0.3847152224
552	0.8297749567	0.3846360447
553	0.8298147522	0.3845793634
554	0.8297948544	0.3845169637
555	0.829824701	0.3844846174
556	0.8298445988	0.3844300244
557	0.829824701	0.3843724594
558	0.829824701	0.3843697471
559	0.8298943431	0.3843173268
560	0.8298843942	0.3842481694
561	0.8299142408	0.3841503335
562	0.8299341385	0.38409659
563	0.8299241897	0.3840592622
564	0.8299341385	0.3840306651
565	0.8298843942	0.3839735153
566	0.8299042919	0.3839371632
567	0.8299838828	0.3838979102
568	0.8300037806	0.3838614208
569	0.8300634737	0.3838090413
570	0.8300734226	0.3837507279
571	0.8300734226	0.3837232608
572	0.8300634737	0.3836952646
573	0.8301530135	0.3836524534
574	0.8301331158	0.3836154534
575	0.8301729112	0.3835727066
576	0.8301430646	0.3835439117
577	0.8301530135	0.3835068614
578	0.8301729112	0.3834512781
579	0.8301828601	0.383409274
580	0.8302127067	0.3833874427
581	0.8302027578	0.3833705787
582	0.8302027578	0.3833645607
583	0.8302127067	0.3833577924
584	0.8302226556	0.3832986417
585	0.8302027578	0.3832388728
586	0.8302723999	0.3832156806
587	0.8302723999	0.3831508467
588	0.8302823487	0.3831279941
589	0.8303221442	0.3830655113
590	0.8303619396	0.3830431501
591	0.8303718885	0.3830090518
592	0.8303818374	0.3829855631
593	0.8304017351	0.3829655069
594	0.8304017351	0.3829398359
595	0.8304216328	0.3828947777
596	0.8304216328	0.3828840637
597	0.8304415305	0.3828373056
598	0.8304514794	0.3827911058
599	0.8305012237	0.3827435013
600	0.8305211214	0.3827331986
601	0.8305410192	0.3826612666
602	0.8305310703	0.3826446346
603	0.8305808146	0.3825809219
604	0.8305310703	0.3825562281
605	0.8306106612	0.3824999565
606	0.8307300476	0.3824251029
607	0.8307499453	0.3823904342
608	0.8307399964	0.3823516492
609	0.8307897407	0.3822873155
610	0.8307200987	0.3822419766
611	0.830769843	0.382196964
612	0.8307897407	0.3821672825
613	0.8308295362	0.3821138592
614	0.8307897407	0.3820767388
615	0.8307897407	0.3820622584
616	0.8307897407	0.3820030009
617	0.8308195873	0.3819795905
618	0.8308792805	0.381940556
619	0.8309389737	0.3819085556
620	0.8309588714	0.3819022308
621	0.8309290248	0.3818621213
622	0.830988718	0.3818407954
623	0.8310185646	0.3817799326
624	0.8309588714	0.3817113046
625	0.8309688203	0.3816846317
626	0.8309986669	0.3816083746
627	0.8309986669	0.3816074999
628	0.830988718	0.3815625156
629	0.8309688203	0.3815452325
630	0.8309787691	0.3815446079
631	0.8310185646	0.3815356339
632	0.8310782578	0.3814891956
633	0.8311180532	0.3814324344
634	0.8311677975	0.3814110322
635	0.8311081043	0.3813593255
636	0.8311478998	0.38132025
637	0.8311379509	0.3812679607
638	0.8311081043	0.3812314664
639	0.8311478998	0.3812122576
640	0.8311578487	0.3812081312
641	0.831207593	0.3811557586
642	0.8312473884	0.3811124921
643	0.8312473884	0.3811113088
644	0.8312672861	0.3810512748
645	0.8312473884	0.3810365543
646	0.8312573373	0.3809532181
647	0.8312473884	0.3809416255
648	0.8313369282	0.3808831
649	0.8312672861	0.3808276164
650	0.8312573373	0.3808157582
651	0.8313070816	0.3807594338
652	0.8313170305	0.3807569722
653	0.8313269793	0.3806965627
654	0.8313269793	0.3806829205
655	0.8313468771	0.3806761753
656	0.8313468771	0.3806521715
657	0.8313866725	0.3805579319
658	0.831426468	0.3804981496
659	0.8313866725	0.3804667133
660	0.8314165191	0.3803988318
661	0.8314662634	0.3803885069
662	0.8314463657	0.3803487145
663	0.831426468	0.3802671714
664	0.8315060589	0.3801633486
665	0.8315359054	0.3801303866
666	0.8315458543	0.3801028786
667	0.8316055475	0.3800435931
668	0.8316353941	0.3800063943
669	0.8316254452	0.3799540432
670	0.8317249338	0.3799207701
671	0.8317249338	0.3798552177
672	0.8317249338	0.3798090562
673	0.8317249338	0.3798080984
674	0.8317647293	0.3797710475
675	0.8318343713	0.379709418
676	0.8318343713	0.3796639999
677	0.8318244225	0.3795933433
678	0.8318244225	0.3795453831
679	0.8318343713	0.3795005902
680	0.8318741668	0.3794437697
681	0.8318244225	0.3793941943
682	0.8318741668	0.3793612152
683	0.8318940645	0.3793153114
684	0.8318940645	0.3792837181
685	0.8318841156	0.3792552958
686	0.8319139622	0.3792342412
687	0.8318940645	0.379168808
688	0.8318940645	0.3791314557
689	0.8318940645	0.3790582043
690	0.8319239111	0.3790212843
691	0.8320233997	0.3789789099
692	0.8320134509	0.3789566193
693	0.8320333486	0.3789294526
694	0.8320532463	0.3788871114
695	0.8320333486	0.3788741744
696	0.8320333486	0.3788728659
697	0.8320333486	0.3788720312
698	0.8320432975	0.3788463357
699	0.8320333486	0.3788078146
700	0.8320631952	0.3787542163
701	0.8320532463	0.378702352
702	0.8320830929	0.3786428015
703	0.8321626838	0.3785702386
704	0.8321328372	0.3785384165
705	0.8321328372	0.3784885185
706	0.8321626838	0.3784365112
707	0.8321527349	0.3783760683
708	0.8321825815	0.3783140364
709	0.8321825815	0.3782780458
710	0.8321726327	0.3782572942
711	0.8321626838	0.3782021084
712	0.8321726327	0.3781583379
713	0.8321726327	0.3781572714
714	0.832222377	0.378132194
715	0.832222377	0.3781305625
716	0.8321925304	0.3780873964
717	0.832222377	0.3780619755
718	0.8323517122	0.3780054416
719	0.8323417633	0.3779700133
720	0.8323517122	0.3779192485
721	0.8323517122	0.3779071928
722	0.8324213542	0.3778075222
723	0.8324512008	0.3777181243
724	0.8324810474	0.3776882357
725	0.8324810474	0.3776236019
726	0.8325208429	0.3776053009
727	0.8325009451	0.3775943984
728	0.8325407406	0.3775510189
729	0.8325407406	0.377550413
730	0.832510894	0.3774914827
731	0.8325009451	0.37745379
732	0.8325307917	0.3773882646
733	0.8326004338	0.3773166148
734	0.8326103826	0.377251053
735	0.8326501781	0.3771991378
736	0.832729769	0.3771765158
737	0.832729769	0.3771268477
738	0.8327795133	0.3770687296
739	0.8327695644	0.3770455512
740	0.8327894622	0.3769788911
741	0.8328093599	0.3769345223
742	0.8328093599	0.3769253452
743	0.8328093599	0.3769230193
744	0.8328193088	0.3768640751
745	0.8327596156	0.3768013322
746	0.8328093599	0.3767792398
747	0.8328392065	0.3767522198
748	0.8328093599	0.3767211362
749	0.8328690531	0.3766864359
750	0.8329187974	0.3766302703
751	0.8329784906	0.3766039699
752	0.8330481326	0.3765576693
753	0.833087928	0.3765343173
754	0.8330680303	0.3764778114
755	0.833087928	0.3764669199
756	0.8330978769	0.3764053334
757	0.8331277235	0.3763407837
758	0.8330978769	0.3763298883
759	0.833167519	0.376259554
760	0.8331476212	0.3761806557
761	0.8332073144	0.3761238685
762	0.8332073144	0.376123179
763	0.8331575701	0.3760695937
764	0.833167519	0.3760326882
765	0.8331774678	0.3760022292
766	0.8331575701	0.3759380359
767	0.8331874167	0.3758616804
768	0.8332670076	0.3758173234
769	0.8332670076	0.3757587543
770	0.833306803	0.3757066133
771	0.833306803	0.3757049516
772	0.8332769564	0.3756424035
773	0.8332471099	0.3755981412
774	0.8332272121	0.375544249
775	0.8332471099	0.3755422441
776	0.8332670076	0.3754806003
777	0.8332670076	0.3754509355
778	0.8333167519	0.3754306123
779	0.8333465985	0.3753981793
780	0.8333664962	0.3753665086
781	0.8333565473	0.3753582726
782	0.8333366496	0.3752883217
783	0.8333565473	0.3752348221
784	0.8333764451	0.3751989692
785	0.8334162405	0.3751735937
786	0.8334162405	0.3751540215
787	0.8334460871	0.3751367508
788	0.8334858826	0.3750895289
789	0.8335455757	0.3750439752
790	0.8335654735	0.3750267238
791	0.8335953201	0.3749621464
792	0.8336649621	0.3749146644
793	0.833744553	0.3748524969
794	0.8337246553	0.3748222304
795	0.8337047575	0.374807482
796	0.8337246553	0.3747522117
797	0.8337545019	0.3746994597
798	0.8337545019	0.3746692031
799	0.8337047575	0.374607793
800	0.8337743996	0.3745502793
801	0.8337843484	0.3745250335
802	0.8337743996	0.3744890077
803	0.8337942973	0.3744723041
804	0.8338340928	0.3744263542
805	0.8338838371	0.3743650068
806	0.8339534791	0.3743095981
807	0.8339534791	0.3742554645
808	0.8339335814	0.3742485758
809	0.8339534791	0.3741781842
810	0.8339136837	0.3741395575
811	0.833963428	0.374095585
812	0.8339435303	0.3740878478
813	0.8339435303	0.3740243912
814	0.8339833257	0.3739812026
815	0.8339833257	0.3739650776
816	0.8339932746	0.3739248282
817	0.8340430189	0.3738643521
818	0.83403307	0.3738212923
819	0.8340231212	0.3738009904
820	0.83403307	0.3737828638
821	0.83403307	0.3737184136
822	0.8339932746	0.3736976323
823	0.8340131723	0.3736784447
824	0.8340927632	0.3736388278
825	0.8341126609	0.3735664595
826	0.8341226098	0.3735424736
827	0.8340927632	0.373484623
828	0.8340828143	0.3734566544
829	0.8341027121	0.3734465399
830	0.8341027121	0.3734398454
831	0.8341226098	0.3734202493
832	0.8341325586	0.3733848491
833	0.8341624052	0.3733693831
834	0.8342022007	0.3733042225
835	0.8342022007	0.3732541816
836	0.8342121496	0.3732445883
837	0.8342121496	0.3732158347
838	0.8342817916	0.3731619663
839	0.8342817916	0.3731470298
840	0.8342320473	0.373109836
841	0.8342817916	0.3730654103
842	0.8343116382	0.3730320187
843	0.8343315359	0.3730089465
844	0.8343514336	0.372959061
845	0.8343613825	0.3729451163
846	0.8344011779	0.3728959255
847	0.8344409734	0.3728593935
848	0.8344409734	0.3728321412
849	0.83447082	0.3727887505
850	0.8344509223	0.3727734424
851	0.8344608711	0.3727474914
852	0.8345006666	0.3727170874
853	0.8344608711	0.3726666554
854	0.8345205643	0.3726096482
855	0.8345703086	0.3725564655
856	0.8345902063	0.3724819001
857	0.8345902063	0.3724670929
858	0.8346101041	0.372445115
859	0.8346498995	0.3724364244
860	0.8346498995	0.3724191543
861	0.8346797461	0.3723578294
862	0.8346598484	0.372326489
863	0.8346200529	0.3722554688
864	0.8346598484	0.372245977
865	0.8346598484	0.3721856893
866	0.8346697972	0.3721373759
867	0.8346697972	0.3721129926
868	0.8346498995	0.3720689242
869	0.8346498995	0.3720373238
870	0.8346996438	0.3719914112
871	0.8346598484	0.371937091
872	0.8347394393	0.3719123488
873	0.8347991325	0.3719002101
874	0.8347692859	0.3718337717
875	0.8347692859	0.3717929297
876	0.8347991325	0.3717487703
877	0.834759337	0.3716968777
878	0.834759337	0.3716706039
879	0.8347493881	0.3716125449
880	0.834828979	0.3715885898
881	0.8347991325	0.371574938
882	0.8348986211	0.371549228
